group;start_time;total_time;task1_start;task1_end;task1_time_diff;task1_tlx_1;task1_tlx_2;task1_tlx_3;task1_tlx_4;task1_tlx_avg;task2_start;task2_end;task2_time_diff;task2_tlx_1;task2_tlx_2;task2_tlx_3;task2_tlx_4;task2_tlx_avg;task3_start;task3_end;task3_time_diff;task3_tlx_1;task3_tlx_2;task3_tlx_3;task3_tlx_4;task3_tlx_avg;task4_start;task4_end;task4_time_diff;task4_tlx_1;task4_tlx_2;task4_tlx_3;task4_tlx_4;task4_tlx_avg;task5_start;task5_end;task5_time_diff;task5_tlx_1;task5_tlx_2;task5_tlx_3;task5_tlx_4;task5_tlx_avg;pre_nsk_1;pre_nsk_2;pre_nsk_3;pre_nsk_avg;pre_siemk_1;pre_siemk_2;pre_siemk_3;pre_siemk_avg;pre_atkk_1;pre_atkk_2;pre_atkk_3;pre_atkk_avg;pre_siemdk_1;pre_siemdk_2;pre_siemdk_3;pre_siemd_avg;post_nsk_1;post_nsk_2;post_nsk_3;post_nsk_avg;post_siemk_1;post_siemk_2;post_siemk_3;post_siemk_avg;post_atkk_1;post_atkk_2;post_atkk_3;pst_atkk_avg;post_siemdk_1;post_siemdk_2;post_siemdk_3;post_siemdk_avg;pre_all_avg;post_all_avg;diff_siemk_1;diff_siemk_2;diff_siemk_3;diff_siemk_avg;diff_atkk_1;diff_atkk_2;diff_atkk_3;diff_atkk_avg;diff_siemdk_1;diff_siemdk_2;diff_siemdk_3;diff_siemdk_avg;diff_all_avg;post_A1;post_A2;post_RV1;post_RV2;post_C1;post_C2;post_S1;post_S2;post_A_avg;post_R_avg;post_C_avg;post_S_avg
Json;2022-01-27T13:20:49.060Z;4173;2022-01-27T13:50:37.703Z;2022-01-27T14:05:49.274Z;912;2;3;3;2;2.5000;2022-01-27T14:08:04.532Z;2022-01-27T14:10:36.685Z;152;2;2;2;2;2.0000;2022-01-27T14:13:29.735Z;2022-01-27T14:22:21.430Z;532;2;3;2;2;2.2500;2022-01-27T14:22:57.524Z;2022-01-27T14:30:28.934Z;451;2;2;3;2;2.2500;2022-01-27T14:32:52.006Z;2022-01-27T14:38:05.881Z;313;3;3;2;2;2.5000;1;1;0;0.6667;1;1;0;0.6667;1;1;1;1.0000;0;0;0;0.0000;1;1;0;0.6667;1;1;0;0.6667;1;0;1;0.6667;0;1;1;0.6667;0.5833;0.6667;0;0;0;0.0000;0;-1;0;-0.3333;0;1;1;0.6667;0.0833;4;4;4;4;4;4;4;4;4.0000;4.0000;4.0000;4.0000
Json;2022-02-02T14:24:16.425Z;3428;2022-02-02T14:38:19.806Z;2022-02-02T14:42:40.648Z;261;2;1;2;1;1.5000;2022-02-02T14:49:03.670Z;2022-02-02T14:55:24.675Z;381;3;2;3;1;2.2500;2022-02-02T15:00:10.856Z;2022-02-02T15:08:03.903Z;473;3;2;3;1;2.2500;2022-02-02T15:09:34.267Z;2022-02-02T15:16:46.807Z;432;3;2;3;1;2.2500;2022-02-02T15:22:05.073Z;2022-02-02T15:28:32.560Z;387;4;2;3;2;2.7500;1;0;0;0.3333;1;1;1;1.0000;1;1;1;1.0000;1;0;0;0.3333;1;1;1;1.0000;1;1;1;1.0000;1;1;1;1.0000;1;0;1;0.6667;0.6667;0.9167;0;0;0;0.0000;0;0;0;0.0000;0;0;1;0.3333;0.2500;4;5;4;3;5;4;3;4;4.5000;3.5000;4.5000;3.5000
Json;2022-02-02T14:22:00.368Z;2579;2022-02-02T14:34:36.642Z;2022-02-02T14:39:18.687Z;282;4;3;3;1;2.7500;2022-02-02T14:46:02.487Z;2022-02-02T14:47:55.184Z;113;1;1;1;1;1.0000;2022-02-02T14:52:38.390Z;2022-02-02T14:59:36.127Z;418;5;4;5;4;4.5000;2022-02-02T15:03:00.988Z;2022-02-02T15:06:25.817Z;205;2;2;2;1;1.7500;2022-02-02T15:09:31.103Z;2022-02-02T15:12:40.692Z;189;4;3;3;4;3.5000;1;1;0;0.6667;1;1;0;0.6667;1;0;1;0.6667;0;0;0;0.0000;1;1;0;0.6667;1;1;1;1.0000;1;0;1;0.6667;1;1;1;1.0000;0.5000;0.8333;0;0;1;0.3333;0;0;0;0.0000;1;1;1;1.0000;0.3333;4;4;4;4;4;4;4;3;4.0000;4.0000;4.0000;3.5000
Json;2022-03-23T08:22:42.392Z;3483;2022-03-23T08:40:50.632Z;2022-03-23T08:48:56.041Z;486;3;1;2;2;2.0000;2022-03-23T08:55:10.618Z;2022-03-23T08:58:55.283Z;225;3;2;1;5;2.7500;2022-03-23T09:04:43.711Z;2022-03-23T09:16:02.990Z;679;4;2;3;3;3.0000;2022-03-23T09:16:53.814Z;2022-03-23T09:23:32.428Z;399;2;1;1;1;1.2500;2022-03-23T09:25:29.024Z;2022-03-23T09:30:54.120Z;325;2;1;1;4;2.0000;0;1;0;0.3333;0;0;1;0.3333;1;0;0;0.3333;0;1;0;0.3333;1;1;0;0.6667;1;1;1;1.0000;1;1;0;0.6667;1;1;1;1.0000;0.3333;0.8333;1;1;0;0.6667;0;1;0;0.3333;1;0;1;0.6667;0.5000;5;5;5;4;4;4;4;4;5.0000;4.5000;4.0000;4.0000
Json;2022-03-23T08:22:35.051Z;3899;2022-03-23T08:37:23.694Z;2022-03-23T08:52:01.369Z;878;2;2;3;2;2.2500;2022-03-23T08:55:47.959Z;2022-03-23T09:03:28.287Z;461;2;3;3;3;2.7500;2022-03-23T09:07:09.344Z;2022-03-23T09:22:18.919Z;909;2;3;3;3;2.7500;2022-03-23T09:22:46.503Z;2022-03-23T09:30:34.804Z;468;1;2;2;2;1.7500;2022-03-23T09:30:58.740Z;2022-03-23T09:37:50.385Z;412;2;1;2;2;1.7500;1;1;0;0.6667;1;1;1;1.0000;1;0;0;0.3333;1;0;0;0.3333;1;1;1;1.0000;1;1;1;1.0000;1;0;1;0.6667;1;0;1;0.6667;0.5833;0.8333;0;0;0;0.0000;0;0;1;0.3333;0;0;1;0.3333;0.2500;5;5;4;4;3;4;5;3;5.0000;4.0000;3.5000;4.0000
Blockly;2022-01-18T09:11:17.802Z;4947;2022-01-18T09:27:17.421Z;2022-01-18T09:45:52.647Z;1115;2;2;3;2;2.2500;2022-01-18T09:51:25.193Z;2022-01-18T09:58:53.441Z;448;2;2;2;2;2.0000;2022-01-18T10:03:17.862Z;2022-01-18T10:26:23.735Z;1386;3;2;5;5;3.7500;2022-01-18T10:26:54.811Z;2022-01-18T10:37:34.651Z;640;4;2;5;5;4.0000;2022-01-18T10:38:15.976Z;2022-01-18T10:41:17.001Z;182;3;5;5;5;4.5000;1;0;0;0.3333;0;1;1;0.6667;1;0;1;0.6667;0;1;0;0.3333;1;1;0;0.6667;0;1;1;0.6667;1;1;1;1.0000;1;1;1;1.0000;0.5000;0.8333;0;0;0;0.0000;0;1;0;0.3333;1;0;1;0.6667;0.3333;4;4;4;2;1;2;2;2;4.0000;3.0000;1.5000;2.0000
Blockly;2022-01-18T09:13:25.148Z;2325;2022-01-18T09:28:22.717Z;2022-01-18T09:34:45.350Z;383;1;1;1;1;1.0000;2022-01-18T09:38:36.090Z;2022-01-18T09:39:58.305Z;82;1;1;1;1;1.0000;2022-01-18T09:43:47.930Z;2022-01-18T09:48:05.492Z;258;2;1;1;1;1.2500;2022-01-18T09:51:26.501Z;2022-01-18T09:56:36.084Z;310;2;1;2;1;1.5000;2022-01-18T09:58:26.014Z;2022-01-18T10:00:11.353Z;105;2;1;1;1;1.2500;1;0;0;0.3333;1;1;1;1.0000;1;0;1;0.6667;0;0;0;0.0000;1;1;1;1.0000;1;1;1;1.0000;1;1;1;1.0000;1;1;1;1.0000;0.5000;1.0000;0;0;0;0.0000;0;1;0;0.3333;1;1;1;1.0000;0.5000;4;5;4;5;5;5;5;4;4.5000;4.5000;5.0000;4.5000
Blockly;2022-01-18T09:14:53.578Z;3519;2022-01-18T09:38:24.310Z;2022-01-18T10:00:11.663Z;1307;5;5;4;4;4.5000;2022-01-18T10:02:50.202Z;2022-01-18T10:04:38.554Z;108;1;1;1;1;1.0000;2022-01-18T10:07:00.864Z;2022-01-18T10:11:10.804Z;250;2;3;1;2;2.0000;2022-01-18T10:11:40.088Z;2022-01-18T10:15:42.804Z;242;2;3;1;2;2.0000;2022-01-18T10:16:28.293Z;2022-01-18T10:21:26.353Z;298;2;3;1;2;2.0000;0;0;0;0.0000;1;1;1;1.0000;1;1;1;1.0000;1;0;0;0.3333;1;1;1;1.0000;0;1;1;0.6667;1;1;1;1.0000;1;0;1;0.6667;0.5833;0.8333;-1;0;0;-0.3333;0;0;0;0.0000;0;0;1;0.3333;0.2500;5;5;4;3;4;3;4;2;5.0000;3.5000;3.5000;3.0000
Blockly;2022-01-18T09:11:57.026Z;2423;2022-01-18T09:23:38.091Z;2022-01-18T09:27:46.780Z;248;2;1;2;1;1.5000;2022-01-18T09:34:00.899Z;2022-01-18T09:36:02.002Z;122;1;1;1;1;1.0000;2022-01-18T09:41:55.563Z;2022-01-18T09:47:08.193Z;313;2;1;1;1;1.2500;2022-01-18T09:50:54.107Z;2022-01-18T09:54:35.843Z;221;2;1;1;1;1.2500;2022-01-18T09:55:16.659Z;2022-01-18T09:59:14.021Z;238;1;2;1;1;1.2500;1;1;1;1.0000;1;0;1;0.6667;1;1;1;1.0000;1;1;1;1.0000;1;1;1;1.0000;1;1;1;1.0000;1;1;1;1.0000;1;1;1;1.0000;0.9167;1.0000;0;1;0;0.3333;0;0;0;0.0000;0;0;0;0.0000;0.0833;5;5;4;4;5;5;4;5;5.0000;4.0000;5.0000;4.5000
Blockly;2022-01-18T09:12:04.625Z;2468;2022-01-18T09:29:54.882Z;2022-01-18T09:30:09.418Z;15;2;1;1;1;1.2500;2022-01-18T09:38:59.600Z;2022-01-18T09:40:44.515Z;105;2;1;1;1;1.2500;2022-01-18T09:51:27.928Z;2022-01-18T09:51:32.176Z;246;3;1;2;1;1.7500;2022-01-18T09:57:04.390Z;2022-01-18T09:58:08.655Z;64;3;1;4;1;2.2500;2022-01-18T10:00:31.094Z;2022-01-18T10:04:35.849Z;244;2;1;4;1;2.0000;1;1;1;1.0000;1;1;1;1.0000;1;1;1;1.0000;1;1;1;1.0000;1;1;1;1.0000;1;1;1;1.0000;1;1;1;1.0000;1;1;1;1.0000;1.0000;1.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.0000;5;5;4;5;5;5;5;4;5.0000;4.5000;5.0000;4.5000
